CoD,CENTRAL,Tecnología,MW,Energía kWh 0120,Energía kWh 0220,Energía kWh 0320,Energía kWh 0420,Energía kWh 0520,Energía kWh 0620,Energía kWh 0720,Energía kWh 0820,Energía kWh 0920,Energía kWh 1020,Energía kWh 1120,Energía kWh 1220,Energía kWh 0121,Energía kWh 0221,Energía kWh 0321,Energía kWh 0421,Energía kWh 0521,Energía kWh 0621,Energía kWh 0721,Energía kWh 0821,Energía kWh 0921,Energía kWh 1021,Energía kWh 1121,Energía kWh 1221,Energía kWh 0122,Energía kWh 0222,Energía kWh 0322,Energía kWh 0422,Energía kWh 0522,Energía kWh 0622,Energía kWh 0722,Energía kWh 0822,Energía kWh 0922,Energía kWh 1022,Energía kWh 1122,Energía kWh 1222,Energía kWh 0123,Energía kWh 0223,Energía kWh 0323,Energía kWh 0423,Energía kWh 0523,Energía kWh 0623,Energía kWh 0723,Energía kWh 0823,Energía kWh 0923,Energía kWh 1023,Energía kWh 1123,Energía kWh 1223,Energía kWh 0124,Energía kWh 0224,Energía kWh 0324,Energía kWh 0424,Energía kWh 0524,Energía kWh 0624,Energía kWh 0724,Energía kWh 0824,Energía kWh 0924,Energía kWh 1024,Energía kWh 1124,Energía kWh 1224,Energía kWh 0125,Energía kWh 0225
1996,Corani,Hidro,65.25,31808550,26837574,23023970,11427667,16470966,30812456,35332060,35214191,35659913,27861101,14967159,12856145,31036494,31898184,32678353,38044857,21877995,35348762,36168638,36548780,36082850,30423801,15249289,29424406,23617006,14001964,24932163,29305201,37799723,36031894,36898368,34640516,30457084,14539448,14082627,9144297,7146752,406957,520230,3961167,5416590,12941570,15251498,13941152,16174387,19256493,19370849,25161240,7533848,12754345,37177480,33476556,29416929,29856149,30157378,24171519,27532816,24987941,17683399,19733203,18972978,14213664
1996,Santa Isabel,Hidro,91.11,51658870,46300262,35021746,17635732,23503388,43544405,49715328,49576040,50545012,40307379,21701807,23705534,50530960,50068096,48913660,56280405,31473982,49613330,50566523,51363380,48303235,43966881,23479793,44679420,37842725,23521342,39326012,44323135,54147684,51634198,52594931,49485155,44093915,21530676,20644752,14879161,12220682,4586822,3974130,7819032,8289681,18273727,21316153,19466010,22604683,27571681,30545866,43663230,14697894,24405094,56266492,49478282,42410819,42221575,42575017,34059462,38885078,35398601,26268111,33532714,33340088,24397967
2018,San José I,Hidro,55.0,36640539,34099737,31193871,21267466,18477093,22892700,22960978,22644596,22193587,20687484,12715807,23014800,36562727,34230377,35021336,36416723,21244017,24701093,23380785,22507488,22766510,23365556,20508173,34487075,30947138,22854719,29752370,31714036,30014084,26230341,24237235,22134123,21445524,13063754,11963716,14744907,13509768,17666527,16465430,16590701,10982029,11463000,11259955,9962024,11930699,16715419,24116220,34598202,26123097,26366255,38354695,34498278,27590959,22561202,20903747,16415115,17696015,16743911,16707483,29619911,34859198,26305290
2019,San José II,Hidro,69.0,42176458,39390053,36223479,24721164,21562759,26573585,26398959,26303059,25734733,24136701,14738893,26550590,41731433,39486763,40484259,42039127,23371030,28563839,27023507,25964672,26992330,26459420,24631099,40061467,35589427,26375998,33607695,36616677,34749816,30094324,28004038,25483267,24715109,15030008,13577444,16950958,15567712,20378435,18977707,19127427,12657618,13260125,13020635,11533881,13804556,19306778,27790767,39094056,30148968,30178735,44075420,39289700,31556143,26079063,24050656,18830053,20417095,19341351,19293377,33823712,39609522,30331477
2014,Qollpana (Fase I),Eólica,3.0,704852,627001,379867,716697,881256,1462778,1477809,1365808,1547611,1177190,1101180,761564,824227,342144,505331,837351,1235180,1184616,1084037,1444670,1628723,1238108,636727,283895,660986,397958,607208,1296365,1086131,1285592,1447771,1379004,1470898,1253569,672440,419932,394683,494831,530105,903748,969887,881657,1404944,1222900,1809565,1671011,1354042,1167852,396732,413311,772614,1250751,1660968,1148651,1512990,1665160,1698989,1219770,781631,809460,333934,307661
2016,Qollpana (Fase II),Eólica,24.0,2612472,2173537,1075084,1790330,3111340,5262465,5400804,7500874,8430950,5835513,4102324,3340215,3343685,1107060,1808491,2817420,3831850,4718219,4241300,5938159,9078152,6072474,1713549,745500,2270951,1159350,1996547,5211434,4950898,6214532,6008469,5943835,8083836,6130459,2766591,1435849,1250397,1625482,1887694,2605936,3511881,2986501,4604855,4179633,9337594,9747065,6982548,4676086,1101454,1071657,3208367,4909951,6565780,4295235,6765694,9299684,8823550,5318143,2182625,2772191,890678,759862
1996,Guaracachi,Termo,345.95,136906590,106333450,131353500,117324600,118572360,89211870,61320950,63183620,91375710,116323950,104768950,117914600,112980620,97035150,115896560,49188790,122070700,109323850,90266400,6909940,11693410,19575720,15511310,18242070,22401820,19653090,14843280,14740640,4968340,53780000,110026680,93072480,107420500,76727600,112054520,116180230,108054460,96662740,65323660,93574350,107885480,63749670,102031990,108880540,105015020,96730670,113066130,107736140,107917270,66352600,33568040,27808782,5588680,4216800,1108275,6033958,19067970,79077062,108956884,95612069,116190992,113316889
2009,Santa Cruz,Termo,41.95,8132427,8925141,4766456,-55506,-55409,-52060,1309533,2376916,2405029,2010572,3924476,148932,-27326,1624927,769885,3173788,-58871,-58494,695935,906756,4053329,4011658,1573929,3578663,5728382,5017752,3275612,2499214,-7549,-57995,-51169,182421,99380,1366918,5615272,5208370,648931,-15455,2567549,971540,692485,-50750,114716,39816,-50152,221358,146905,157912,172268,2932802,5918986,4664203,2000419,-46674,-54261,996971,4868115,5568125,-51876,655285,1004065,1794461
2014,Santa Cruz (Unagro),Biomasa,35.0,0,0,0,0,0,0,6435965,8477668,9381551,9797606,9244745,9554332,0,0,0,0,0,7289401,20288309,19015166,13585538,7859730,50704,0,0,0,0,0,0,4323949,6652696,12259285,10823945,7431889,0,0,0,0,0,0,0,0,3543477,14211208,10898932,9139857,1067227,0,0,0,0,0,0,2616058,6984136,6220883,6018260,1638067,0,0,0,0
2016,Santa Cruz (EASBA),Biomasa,5.0,0,0,0,0,0,0,0,847417,2807967,2663111,0,0,0,0,0,0,0,0,0,462155,2792842,2632868,0,0,0,0,0,0,0,0,0,1167801,2582631,2424630,593828,0,0,0,0,0,0,0,0,2562690,1591273,0,0,0,0,0,0,0,0,0,0,1071296,3199026,1491002,0,0,0,0
1996,Aranjuez,Termo,35.19,11935147,11187887,11896513,11346902,12008042,11630496,12052222,11674785,11629763,11242071,11534778,11689493,9919047,7998737,8934523,8152024,8917343,8673873,9047677,9334464,8757046,9125326,9626873,8756859,8730018,7931577,9115775,8602144,8958779,8962445,8943108,9217535,9225774,10238939,11122529,9994521,8966337,8265507,9388624,8661356,8946140,4856180,4921551,7060342,8796149,8824646,9222670,8732284,9153646,8457773,6862198,8704567,8963555,8191865,9248774,9400428,9707971,10297071,4959398,2163293,1504304,1681399
2015,San Jacinto,Hidro,7.6,3427442,4188229,4838198,2537401,954503,624237,554408,519332,778920,777446,616276,765442,4436398,3675593,4827894,3292679,1228055,707480,530798,547123,523494,552558,837855,4022521,3336678,3914643,4220369,1357895,851041,664322,447499,412798,461560,408983,194840,114305,394335,3259015,4757579,2896172,1029871,615859,578649,419605,395084,291344,432751,629570,3807720,4289432,4910569,3758129,1182613,645263,370133,592452,244367,46846,2115853,1497101,4614288,3694255
2017,Yunchara,Solar,5.0,780478,478960,747619,926911,953199,939612,1013045,1028965,810154,950556,946938,914514,782557,764219,886484,868925,950051,911057,950525,982910,977266,884018,917328,790573,673788,704389,902314,938510,952870,905263,911012,1042960,1114719,1124279,886815,879612,944924,815873,888191,954206,966669,972861,1000335,1029758,1054601,925244,913006,795141,,,852778,901976,985137,845407,880416,1028826,1030428,924400,761813,839853,810811,843503
2018,Uyuni,Solar,60.06,10949803,10333530,11036903,11876953,10759736,10526148,12010929,12562994,12245080,12111340,12025061,11105037,10858693,10493063,11375295,11642555,11123811,10707289,11381726,12702330,12297202,13333772,11717284,9633412,10047235,10261818,11838562,12176284,11211781,10757053,11164879,12397111,13073653,13403219,12069284,11335166,11391968,10110700,11437524,11940778,11350070,11277038,11648389,12556284,12568906,12548053,11264069,11285050,10615058,9574165,10858156,11691255,11755469,10822532,11808571,12550264,12480583,11957590,10912818,11435626,10004676,10119803
1996,Valle Hermoso,Termo,116.6,45390245,42556493,25534765,4918300,558132,2609260,15175164,20547864,22402984,17701104,62357527,44691700,5573465,12947743,14477344,1111875,9069347,9403458,19724010,21977992,11157520,12678200,8973785,219588,230558,-117045,466450,-133655,-106990,-153270,-142833,847410,575872,19225725,17632434,10035837,1405640,311798,1009045,1352860,523577,2698877,-124943,708462,-120415,90425,1079490,-125935,646833,234095,538803,67880,-126605,-123578,38407,191623,13259980,7297788,1068240,4906400,1145540,2161505
1996,Carrasco,Termo,133.36,227154,427913,94297,-222818,-209463,-199499,-202028,106566,73421,34442,70875705,39292997,13022744,23052415,17150622,2520898,-264447,-231720,116621,-241551,-55691,-265474,-209416,-225458,-232640,-201481,-212698,-198528,-187500,-176442,-191912,-180311,-180994,-198516,127273,683625,-194113,-179022,-196887,-181407,-178937,-168784,-169670,-185722,-189963,-190332,-112137,-196178,-198907,-186421,-189923,-176159,-165721,-161036,-162457,-164900,-5844,-186982,-174191,-178705,-182793,-172718
2012,C. El Alto,Termo,50.19,1309014,1156711,404240,-74982,-81068,382638,87620,1545844,1886742,1044662,10402311,16041409,3159008,6418099,5274029,1553423,20517771,19634451,21305721,24194639,20638202,22886823,14342049,327409,275165,-71502,680726,-80175,18306252,20239022,18545498,20160553,20504457,23345789,25375627,21259223,19893250,9601054,17839281,5798275,19697739,20526121,16779916,21355588,20063509,20371144,19727037,11053461,16444291,3327765,-80354,-78962,23353,9213149,21214887,21638078,21124917,17788543,12490016,-53039,-79628,-70307
1996,Zongo,Hidro,62.68,80169477,77694329,81478579,70136293,51331954,38136292,34402447,26408853,25674954,42283999,31359344,66265462,78274190,66845340,77789824,71457694,51726122,37621157,33998448,26787375,31952200,39648261,42430330,75385646,79563032,78372759,84773824,73595284,52604073,47755922,36797746,33333331,30065586,31845142,34574352,54202551,71145161,70982220,76437930,70330488,57641278,38591379,36053113,33323228,29098666,40540124,47924533,76190890,47956074,61993705,72395569,64271319,53164875,38486906,38466311,36984468,31065841,35579985,61097941,78387907,78021025,77145422
1999,Huaji (Zongo),Hidro,62.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
